@relation gesture
@attribute mean1 numeric
@attribute mean2 numeric
@attribute sd1 numeric
@attribute sd2 numeric
@attribute gesture {'tap','wipe','knock'}

@data 
19.509289,29.37883,19.810474,29.676655,'tap'
19.509289,29.37883,20.010569,29.879631,'tap'
18.254644,65.689415,13.319473,53.213894,'tap'
18.254644,65.689415,18.615894,66.093216,'tap'
18.254644,65.689415,18.75761,66.190575,'tap'
23.563662,40.672356,12.748192,22.336716,'tap'
26.890915,28.168089,13.652469,18.397669,'tap'
26.890915,28.168089,27.143576,28.492786,'tap'
30.945457,57.084045,22.37414,45.40492,'tap'
43.47273,44.042023,32.16508,32.82681,'tap'
39.49091,26.347342,30.551184,22.331295,'tap'
28.49697,67.78245,17.426626,64.69344,'tap'
28.49697,67.78245,28.80111,68.257996,'tap'
31.874243,39.94561,16.375061,25.518978,'tap'
33.291416,57.64854,19.38812,44.818413,'tap'
25.858282,39.129707,13.370503,33.966717,'tap'
